Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Friday,friday,61b954e3cf42f03dbdb1f30f,653aca94fee370592ef53f08,61b955177b525cc44b9be8cc,false,false,Wed Dec 15 2021 02:38:15 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 02:38:15 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 03:15:06 GMT+0000 (Coordinated Universal Time)
Monday,monday,61b954e3cf42f03dbdb1f30f,653aca94fee370592ef53f08,61b954eed178ba6e5b1f908f,false,false,Wed Dec 15 2021 02:37:34 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 02:37:34 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 03:15:06 GMT+0000 (Coordinated Universal Time)
Saturday,saturday,61b954e3cf42f03dbdb1f30f,653aca94fee370592ef53f08,61b9551e1828f17a83fb3636,false,false,Wed Dec 15 2021 02:38:22 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 02:38:22 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 03:15:06 GMT+0000 (Coordinated Universal Time)
Sunday,sunday,61b954e3cf42f03dbdb1f30f,653aca94fee370592ef53f08,61b9552530e898154902500a,false,false,Wed Dec 15 2021 02:38:29 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 02:38:29 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 03:15:06 GMT+0000 (Coordinated Universal Time)
Thursday,thursday,61b954e3cf42f03dbdb1f30f,653aca94fee370592ef53f08,61b9551107e20211c2450315,false,false,Wed Dec 15 2021 02:38:09 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 02:38:09 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 03:15:06 GMT+0000 (Coordinated Universal Time)
Tuesday,tuesday,61b954e3cf42f03dbdb1f30f,653aca94fee370592ef53f08,61b954fd7a114850f244029b,false,false,Wed Dec 15 2021 02:37:49 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 02:37:49 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 03:15:06 GMT+0000 (Coordinated Universal Time)
Wednesday,wednesday,61b954e3cf42f03dbdb1f30f,653aca94fee370592ef53f08,61b955098db58dbb6e03ad75,false,false,Wed Dec 15 2021 02:38:01 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 02:38:01 GMT+0000 (Coordinated Universal Time),Wed Dec 15 2021 03:15:06 GMT+0000 (Coordinated Universal Time)
