Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Resource File,Description,Resource Type
Handful of Leaves Infograph,handful-of-leaves-infograph,688a7acb887670e400b8bde5,653aca94fee370592ef53f08,688a832efb559f040b71895f,false,false,Wed Jul 30 2025 20:40:14 GMT+0000 (Coordinated Universal Time),Wed Jul 30 2025 20:58:38 GMT+0000 (Coordinated Universal Time),Wed Jul 30 2025 20:58:56 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/688a83d24253d091d8cad27b_Handful%20of%20Leaves%20Infograph.pdf,This is a visual reference for the Handful of Leaves Categories and Dharma Topics,PDF
Taking Refuge: A Guide to the Three Jewels,taking-refuge-a-guide-to-the-three-jewels,688a7acb887670e400b8bde5,653aca94fee370592ef53f08,698d4a642d0aacefa3ce9abf,false,false,Thu Feb 12 2026 03:35:00 GMT+0000 (Coordinated Universal Time),Thu Feb 12 2026 03:35:09 GMT+0000 (Coordinated Universal Time),Thu Feb 12 2026 03:35:09 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/698d4a33ff1f4e5d55355a5a_Taking%20Refuge%20A%20Guide%20to%20the%20Three%20Jewels.pdf,,
