English Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Pali,Sanskrit,Synonyms
Emptiness,emptiness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359297e9db8e9b6b2802b,false,false,Fri Jun 07 2024 19:02:01 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:01 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Suññatā,Śūnyatā,
Energy,energy,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591f751a4a6360bffb0a,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Viriya,Vīrya,
Envy,envy,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592229cdb02d28fbccff,false,false,Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Issā,Īrṣyā,
Equanimity,equanimity,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591fcb242dfbc81444c8,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Upekkhā,Upekṣā,
Faith,faith,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591f1838cf5eb48367e3,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Saddhā,Śraddhā,
Fearless of Wrong Doing,fearless-of-wrong-doing,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635921a7a09d0fbb8a7b77,false,false,Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Anottappa,Anapatrāpya,
Feeling,feeling,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635924576dc920b85558a4,false,false,Fri Jun 07 2024 19:01:56 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:56 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Vedanā,Vedanā,
Formations,formations,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359244d5e71fb9d1dfbb4,false,false,Fri Jun 07 2024 19:01:56 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:56 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Saṅkhāra,Saṃskāra,
Four Noble Truths,four-noble-truths,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592996f80f697ddbc895,false,false,Fri Jun 07 2024 19:02:01 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:01 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Cattāri Ariyasaccāni,Catvāri Āryasatyāni,
Free from Desires and Discontent,free-from-desires-and-discontent,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635928ddb0384d2a4700bb,false,false,Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Vineyya Abhijjhādomanassa,Vinīya Abhidhyādomanasya,
Generosity,generosity,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591fdeb9df87d387b271,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Dāna,Dāna,
Goodwill / Integrity / Health,goodwill-integrity-health,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591f82a9d67c3b6cd334,false,false,Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:51 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sīla,Śīla,
Great Action,great-action,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591b572977e54b01afc2,false,false,Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Mahā-Kamma,Mahā-Karma,
Great Compassion,great-compassion,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591b2f4519ccb24a57ac,false,false,Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Mahā-Karuṇā,Mahā-Karuṇā,
Great Wisdom,great-wisdom,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591c89674147b4eeafd4,false,false,Fri Jun 07 2024 19:01:48 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:48 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Mahā-Paññā,Mahā-Prajñā,
