English Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Pali,Sanskrit,Synonyms
Sangha,sangha,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591c455a7173a6c7fc5c,false,false,Fri Jun 07 2024 19:01:48 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:48 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Saṅgha,Saṅgha,
Shame / Modesty,shame-modesty,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635920266409e3feb8d42e,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Hiri,Hrī,
Shamelessness,shamelessness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635921ecf1d4bffdb5c519,false,false,Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Ahirika,Ahṛkā,
Six-Senses & Objects,six-senses-objects,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359265dd48ab804ef8d88,false,false,Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Saḷāyatana,Ṣaḍāyatana,
Sloth,sloth,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635923b2d3d56a1d06aea2,false,false,Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Thīna,Styāna,
Spiritual Urgency,spiritual-urgency,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592091daa80855ec0544,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Saṃvega,Saṃvega,
Storehouse Consciousness,storehouse-consciousness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635926ec50b3586e566219,false,false,Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Ālaya-Viññāṇa,Ālaya-Vijñāna,
Sustained thought,sustained-thought,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359261838cf5eb4836ddf,false,false,Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Vicāra,Vicāra,
Torpor,torpor,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592306635412da547802,false,false,Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Middha,Middha,
Tranquility,tranquility,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635921724afca0a36e0667,false,false,Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Passaddhi,Praśrabdhi,
True Nature,true-nature,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635926ccbf3b3b557c0277,false,false,Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Parinibbāna-Sabhāva,Pariniṣpanna-Svabhāva,
Truthfulness,truthfulness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359211de0aeba878cf35c,false,false,Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sacca,Satya,
Volition / Intention,volition-intention,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635927822c2931d3a8cb41,false,false,Fri Jun 07 2024 19:01:59 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:59 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Cetanā,Cetana,
Well-being for Self and Others,well-being-for-self-and-others,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591eb2d3d56a1d06a9a9,false,false,Fri Jun 07 2024 19:01:50 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:50 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sukhāya Hitāya Attano,Sukhāya Hitāya Ātmanaḥ,
Wieldiness,wieldiness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359211838cf5eb48369b3,false,false,Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Kammaññatā,Karmanya,
Wisdom,wisdom,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635921f6182cf6f2a1cb76,false,false,Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:53 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Paññā,Prajñā,
Worry / Regret,worry-regret,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635922d13cf172746cca50,false,false,Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Kukkucca,Kaukritya,
Wrong View,wrong-view,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359229cdb2b3ec46c8dcd,false,false,Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Diṭṭhi,Dṛṣṭi,
