Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Hide from Programs Page
"Classes, Courses, and Workshops",classes-courses-and-workshops,5f0e1e83f002b1da59e1f617,653aca94fee370592ef53f08,5fa08bfb8a4f5b1e7c157a44,false,false,Mon Nov 02 2020 22:45:15 GMT+0000 (Coordinated Universal Time),Wed Aug 16 2023 11:59:35 GMT+0000 (Coordinated Universal Time),Wed Aug 16 2023 11:59:39 GMT+0000 (Coordinated Universal Time),Learn how to deepen your meditation and mindful living through one-time classes and multi-class courses.,false
Community Groups & Events,community-groups-events,5f0e1e83f002b1da59e1f617,653aca94fee370592ef53f08,5fa08bfb718302d6ca3cf439,false,false,Mon Nov 02 2020 22:45:15 GMT+0000 (Coordinated Universal Time),Sat May 07 2022 12:37:44 GMT+0000 (Coordinated Universal Time),Sat May 07 2022 12:48:47 GMT+0000 (Coordinated Universal Time),"Community Groups, provide an opportunity for RIM Members to practice Kalyana Mitta, which means ""spiritual friendship."" These community-led groups complement all other formal RIM programs and connect people who share affinities, study interests, meditation practices, and other dharma-based interests.",false
Drop-Ins: Open Practice and Learning,drop-ins-open-practice-and-learning,5f0e1e83f002b1da59e1f617,653aca94fee370592ef53f08,60a57a4e77db4ab0e8cf5944,false,false,Wed May 19 2021 20:51:26 GMT+0000 (Coordinated Universal Time),Fri Jan 10 2025 21:31:29 GMT+0000 (Coordinated Universal Time),Fri Jan 10 2025 21:34:59 GMT+0000 (Coordinated Universal Time),"Join us for open sessions designed to support your meditation and mindful living practice. These gatherings provide a welcoming space for individuals at all levels—from beginners exploring mindfulness to experienced practitioners deepening their journey. Whether you're seeking guidance, community, or a moment to reconnect, these sessions are an opportunity to learn, grow, and share in the practice of mindful awareness. Come as you are, and join a community dedicated to living with intention and presence.",false
Featured,featured,5f0e1e83f002b1da59e1f617,653aca94fee370592ef53f08,5fa08bfb89df5a54e5db69a7,false,false,Mon Nov 02 2020 22:45:15 GMT+0000 (Coordinated Universal Time),Tue Nov 10 2020 00:49:57 GMT+0000 (Coordinated Universal Time),Tue Nov 10 2020 01:06:38 GMT+0000 (Coordinated Universal Time),,false
Featured Event,learning-and-practice-drop-ins,5f0e1e83f002b1da59e1f617,653aca94fee370592ef53f08,5fa08bfcb487823e1312be87,false,false,Mon Nov 02 2020 22:45:16 GMT+0000 (Coordinated Universal Time),Tue Nov 19 2024 01:03:54 GMT+0000 (Coordinated Universal Time),Tue Nov 19 2024 01:12:55 GMT+0000 (Coordinated Universal Time),"These ongoing drop-ins are a cornerstone at RIM, supporting those who are just getting started and those seeking to deepen their learning and practice.",false
Mindful Movement,mindful-movement,5f0e1e83f002b1da59e1f617,653aca94fee370592ef53f08,61df3b23f3ad8d659e9a4ada,false,false,Wed Jan 12 2022 20:33:39 GMT+0000 (Coordinated Universal Time),Fri Sep 16 2022 02:06:33 GMT+0000 (Coordinated Universal Time),Fri Sep 16 2022 15:31:41 GMT+0000 (Coordinated Universal Time),"Mindful movement is an embodied meditation and mindfulness practice that helps us bring a wise and compassionate awareness to our body, heart, and mind. ",true
Retreats,retreats-workshops,5f0e1e83f002b1da59e1f617,653aca94fee370592ef53f08,5fa08bfba233914eaf753de1,false,false,Mon Nov 02 2020 22:45:15 GMT+0000 (Coordinated Universal Time),Sun Jan 19 2025 22:32:15 GMT+0000 (Coordinated Universal Time),Sun Jan 19 2025 22:32:15 GMT+0000 (Coordinated Universal Time),,false
Silent Meditation Drop-Ins,silent-meditation-drop-ins,5f0e1e83f002b1da59e1f617,653aca94fee370592ef53f08,5fda5654d09b18a7abce0840,false,false,Wed Dec 16 2020 18:47:48 GMT+0000 (Coordinated Universal Time),Fri Jan 14 2022 15:44:46 GMT+0000 (Coordinated Universal Time),Fri Jan 14 2022 18:48:20 GMT+0000 (Coordinated Universal Time),Start and end your day with community and silent meditation practice.,false
